epoch,loss
0,0.04284489961961905
1,0.031236664081613224
2,0.021839553490281105
3,0.011245038670798143
4,0.0063726401422172785
5,0.005073129897937179
6,0.0039131178831060725
7,0.003294066914046804
8,0.0023939695092849433
9,0.0019780302536673844
10,0.0016794228189003964
11,0.0014737110565571736
12,0.00137572093323494
13,0.001236333812509353
14,0.001142964373381498
15,0.0010706391767598689
16,0.0010197755133655544
17,0.0009298036020481959
18,0.0008754742520977743
19,0.0008303708067008605
20,0.0007782579535463204
21,0.0007338652309651176
22,0.0007068560820092292
23,0.0006627825253720706
24,0.0006333173672222377
25,0.0006226285707574183
26,0.0006202652730280533
27,0.0005872239380551036
28,0.0005714564831578173
29,0.0005548955038345108
30,0.0005424430540491206
31,0.0005382422217129109
32,0.0005133702088642167
33,0.0005174916392813126
34,0.0005013105928810546
35,0.0005137984189786948
36,0.0005015713043879563
37,0.000488909159078806
38,0.00047995247950893827
39,0.00047045316993414116
40,0.00046511515756719746
41,0.00045193032080229994
42,0.0004458674423707028
43,0.0004409549464980955
44,0.0004427332157016887
45,0.0004399322776104479
46,0.0004381674516480416
47,0.00043007207811266807
48,0.0004244235084721974
49,0.0004175341934266423
50,0.0004180613335241408
51,0.00040850834314672585
52,0.00041156271496826474
53,0.0004038257551049658
54,0.0004072563727580321
55,0.00041153035090246703
56,0.0004018749932583887
57,0.0003970073770081702
58,0.00039257517892110627
59,0.0003920526614820119
60,0.00039327458762272727
61,0.00039320173285280663
62,0.000391704806437095
63,0.0003925304730122055
64,0.00039299879305569146
65,0.00038334580949594965
66,0.0003854232169639242
67,0.00037879198013494414
68,0.0003776812955038622
69,0.00037646286727976985
70,0.0003739217927432037
71,0.0003777693312561799
72,0.0003863363784451697
73,0.0003810983732061383
74,0.00037993940835197765
75,0.0003806416477042755
76,0.0003817540782620199
77,0.00038126805278200965
78,0.0003845876641814054
79,0.00041888468937637907
80,0.0004343294131103903
81,0.00043557068177809316
82,0.0004157671664870577
83,0.0003970707354407447
84,0.0003964892694057198
85,0.0003913270447810646
86,0.00039767480181277887
87,0.00042739478067232994
88,0.00043278687674804434
89,0.000413215520287243
90,0.0004786675538828907
